,date,content
17,2020-03-06 22:50:34+00:00,A curb your enthusiasm episode where Larry lies about getting coronavirus to get out of going to an event he’s dreading but then causes accidental pandemonium and chaos
18,2020-03-07 23:31:26+00:00,@benyankee I continue to be fascinated by the political idiocy of the Trump admin regarding Coronavirus. Don’t they know the most susceptible recipients of the disease are largely their voters! Don’t they get that this is the worst possible time to talk about cutting the social safety net?
19,2020-03-07 23:10:58+00:00,"@JoeBiden and @Bernie;
Please ask which members of the Admin and the Congress have been tested for coronavirus.  Immediately."
20,2020-03-07 22:33:15+00:00,Netflix just add Outbreak - just in time Coronavirus season
21,2020-03-07 22:31:45+00:00,"@sarahmucha @PalmerReport @JoeBiden There is a #coronavirus outbreak happening people!

I love Joe! But I think ALL the rally’s have to stop- for the sake of the safety of this #coronavirus crisis!"
22,2020-03-07 22:27:04+00:00,"@DHSCgovuk We need to stay vigilant we need to stay safe and we need to educate ourselves.

@realDonaldTrump @VP and their administration is telling us nothing and not supplying enough tests for #COVIDー19 #Coronavirus 

America deserves better than this failure of an unfit president"
23,2020-03-07 22:22:12+00:00,"Especially with what's going on with coronavirus, you'd think we'd have realized that the health of a society is not determined by the healthiest members but by the most vulnerable ones. It doesn't matter if you're healthy if the people around you are sick and can't get treated."
24,2020-03-07 22:19:38+00:00,"We need to stay vigilant we need to stay safe and we need to educate ourselves.

@realDonaldTrump @VP and their administration is telling us nothing and not supplying enough tests for #COVIDー19 #Coronavirus 

America deserves better than this failure of an unfit president"
25,2020-03-07 22:17:55+00:00,"@AndrewYang Thanks to the Coronavirus scare, millions of Americans are discovering the benefits of hand soap for the first time in their lives."
26,2020-03-08 23:24:01+00:00,"@paulkrugman There should be a test location in every major city

Instead, @realDonaldTrump is golfing this weekend 

#coronavirus #COVID19"
27,2020-03-08 23:07:12+00:00,Why am I seeing people bulk buying paper towels and toilet tissue? Is that what you think is going to protect you from coronavirus?? The world is in hysteria.
28,2020-03-08 22:19:38+00:00,seems like an awful idea to play Coronavirus news on tvs in the airport JUST SAYING
29,2020-03-09 23:59:20+00:00,how many days until trump makes pence take the fall for coronavirus fallout so he can replace him on the ticket with haley
30,2020-03-10 23:15:01+00:00,"My dad said, ""I don't have Coronavirus, but I have Corona every weekend."" #dadjokes"
